relation_token_span_ids	ent1_ent2_start	ent1	ent2	label	label_id	ent1_type	ent2_type	ent1_id	ent2_id	ent1_cui	ent2_cui	doc_id	text
	(12, 24)	clozapine	granulocytopenia	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	10	BACKGROUND: How to best treat psychotic patients who have had past [s1]clozapine[e1] induced agranulocytosis or [s2]granulocytopenia[e2] remains a problem.
	(16, 22)	clozapine	granulocytopenia	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	11	CONCLUSION: The results suggest that olanzapine may be useful in treating patients with [s1]clozapine[e1] induced [s2]granulocytopenia[e2] without the risk of recurrence of hematologic side effects.
	(2, 12)	5-fluorouracil	neurotoxicity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	12	Prolonged severe [s1]5-fluorouracil[e1] associated [s2]neurotoxicity[e2] in a patient with dihydropyrimidine dehydrogenase deficiency.
	(6, 40)	5-FU	neurologic toxicity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	13	We describe the side effects of [s1]5-FU[e1] in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and [s2]neurologic toxicity[e2] that required admission to the intensive care unit.
	(6, 31)	5-FU	prolonged myelosuppression	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	14	We describe the side effects of [s1]5-FU[e1] in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, [s2]prolonged myelosuppression[e2]  and neurologic toxicity that required admission to the intensive care unit.
	(6, 18)	5-FU	severe mucositis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	15	We describe the side effects of [s1]5-FU[e1] in a colon cancer patient who suffered [s2]severe mucositis[e2]  desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.
	(4, 44)	BH-AC	encephalopathy syndrome	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	16	This case suggests that [s1]BH-AC[e1]  a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible [s2]encephalopathy syndrome[e2] 
	(8, 44)	encephalopathy syndrome	BH-AC	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	17	We report a case of reversible [s1]encephalopathy syndrome[e1] in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of [s2]BH-AC[e2] (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.
	(8, 74)	encephalopathy syndrome	idarubicin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	18	We report a case of reversible [s1]encephalopathy syndrome[e1] in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and [s2]idarubicin[e2] 
	(10, 24)	riluzole	hepatitis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	19	In one case, the readministration of [s1]riluzole[e1] was followed by the relapse of [s2]hepatitis[e2] 
	(10, 15)	hepatitis	riluzole	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	20	We report the cases of two patients who developed acute [s1]hepatitis[e1] after taking [s2]riluzole[e2] at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.
	(0, 9)	Lupus-like syndrome	5-aminosalicylic acid	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	21	 [s1]Lupus-like syndrome[e1] caused by [s2]5-aminosalicylic acid[e2] in patients with inflammatory bowel disease.
	(12, 26)	methemoglobinemia	lidocaine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	22	Although the two local anesthetics usually do not cause [s1]methemoglobinemia[e1]  we suspect that the displacement of [s2]lidocaine[e2] from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.
	(0, 14)	Methemoglobinemia	bupivacaine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	23	 [s1]Methemoglobinemia[e1] after axillary block with [s2]bupivacaine[e2] and additional injection of lidocaine in the operative field.
	(0, 22)	Methemoglobinemia	lidocaine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	24	 [s1]Methemoglobinemia[e1] after axillary block with bupivacaine and additional injection of [s2]lidocaine[e2] in the operative field.
	(19, 34)	methemoglobinemia	bupivacaine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	25	We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant [s1]methemoglobinemia[e1] after an axillary block with [s2]bupivacaine[e2] and additional injection of lidocaine in the operative field.
	(19, 42)	methemoglobinemia	lidocaine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	26	We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant [s1]methemoglobinemia[e1] after an axillary block with bupivacaine and additional injection of [s2]lidocaine[e2] in the operative field.
	(14, 20)	aspirin	asthma	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	27	Detection of activated eosinophils in nasal polyps of an [s1]aspirin[e1] induced [s2]asthma[e2] patient.
	(6, 22)	encephalopathy	methotrexate	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	28	An episode of subacute [s1]encephalopathy[e1] after the infusion of a moderate dose of [s2]methotrexate[e2] (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.
	(12, 17)	MTX	neurotoxicity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	29	We believe that this represents an unusual case of moderate-dose [s1]MTX[e1] induced [s2]neurotoxicity[e2] in a patient with gastric cancer, which has not previously been reported.
	(9, 18)	epoprostenol	pulmonary edema	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	30	We describe a life threatening side effect of acute [s1]epoprostenol[e1] infusion  [s2]pulmonary edema[e2]  in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.
	(14, 24)	pruritic bullous eruption	prednisone	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	31	A 14-year-old girl with newly diagnosed SLE developed a [s1]pruritic bullous eruption[e1] while on [s2]prednisone[e2] 
	(0, 7)	Hydroxyurea	acute interstitial pneumonitis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	32	 [s1]Hydroxyurea[e1] induced [s2]acute interstitial pneumonitis[e2] in a patient with essential thrombocythemia.
	(6, 19)	interstitial pneumonitis	hydroxyurea	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	33	The clinical course suggests that the [s1]interstitial pneumonitis[e1] was induced by [s2]hydroxyurea[e2] 
	(6, 13)	hydroxyurea	acute interstitial pneumonitis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	34	This is the first case of [s1]hydroxyurea[e1] induced [s2]acute interstitial pneumonitis[e2] reported in the literature.
	(2, 12)	irritant contact dermatitis	calcipotriol	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	35	Allergic and [s1]irritant contact dermatitis[e1] to [s2]calcipotriol[e2] 
	(0, 28)	Calcipotriol	allergic reactions	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	36	 [s1]Calcipotriol[e1] (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas [s2]allergic reactions[e2] are less common.
	(0, 22)	Calcipotriol	irritation of the skin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	37	 [s1]Calcipotriol[e1] (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause [s2]irritation of the skin[e2]  whereas allergic reactions are less common.
	(32, 43)	irritant type of reaction	calcipotriol	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	38	The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an [s1]irritant type of reaction[e1] after treatment with [s2]calcipotriol[e2] 
	(0, 18)	Myotonia	pravastatin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	39	 [s1]Myotonia[e1] associated with sarcoidosis: marked exacerbation with [s2]pravastatin[e2] 
	(0, 9)	Pravastatin	myotonia	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	40	 [s1]Pravastatin[e1] is associated with [s2]myotonia[e2] in animals.
	(9, 21)	pravastatin	myotonia	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	41	This case suggests that sarcoidosis and [s1]pravastatin[e1]  two entities not frequently associated with [s2]myotonia[e2]  may interact in a synergistic manner to produce severe clinical myotonia in humans.
	(5, 23)	aspirin	angioedema	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	42	Hypersensitivity to [s1]aspirin[e1] can be manifested as acute asthma, urticaria and/or [s2]angioedema[e2]  or a systemic anaphylactoid reaction.
	(5, 30)	aspirin	systemic anaphylactoid reaction	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	43	Hypersensitivity to [s1]aspirin[e1] can be manifested as acute asthma, urticaria and/or angioedema, or a [s2]systemic anaphylactoid reaction[e2] 
	(5, 17)	aspirin	urticaria	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	44	Hypersensitivity to [s1]aspirin[e1] can be manifested as acute asthma, [s2]urticaria[e2] and/or angioedema, or a systemic anaphylactoid reaction.
	(4, 20)	eruption	omeprazole	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	45	CONCLUSION: Fixed drug [s1]eruption[e1] is associated with many drugs but this is the first such report with [s2]omeprazole[e2] 
	(2, 9)	eruption	omeprazole	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	46	Fixed drug [s1]eruption[e1] in hands caused by [s2]omeprazole[e2] 
	(13, 19)	eruption	omeprazole	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	47	The objective of this report is to describe a case of fixed drug [s1]eruption[e1] that occurred during [s2]omeprazole[e2] treatment.
	(27, 59)	diffuse erythema	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	48	A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with [s1]diffuse erythema[e1] and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of [s2]salazosulfapyridine[e2] 
	(45, 59)	fever up to 39 degrees C	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	49	A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and [s1]fever up to 39 degrees C[e1] one day after the administration of [s2]salazosulfapyridine[e2] 
	(41, 58)	malaise	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	50	A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, [s1]malaise[e1]  and fever up to 39 degrees C one day after the administration of [s2]salazosulfapyridine[e2] 
	(32, 59)	pustules	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	51	A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and [s1]pustules[e1] on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of [s2]salazosulfapyridine[e2] 
	(0, 15)	Acute generalized exanthematous pustulosis	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	52	 [s1]Acute generalized exanthematous pustulosis[e1] induced by [s2]salazosulfapyridine[e2] in a patient with ulcerative colitis.
	(5, 24)	acute generalized exanthematous pustulosis	salazosulfapyridine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	53	We report a case of [s1]acute generalized exanthematous pustulosis[e1] (AGEP) induced by [s2]salazosulfapyridine[e2] in a patient with ulcerative colitis.
	(20, 27)	olanzapine	elevated serum CK concentration	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	54	CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with [s1]olanzapine[e1] developed an [s2]elevated serum CK concentration[e2] with a peak concentration of 4000 IU/L (normal < 230).
	(2, 20)	Olanzapine	muscle injury with concomitant elevations of serum CK	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	55	DISCUSSION: [s1]Olanzapine[e1]  like other atypical antipsychotic drugs, may cause [s2]muscle injury with concomitant elevations of serum CK[e2] of muscle origin.
	(1, 12)	elevation of serum creatine kinase	olanzapine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	56	Marked [s1]elevation of serum creatine kinase[e1] associated with [s2]olanzapine[e2] therapy.
	(8, 22)	elevation of serum creatine kinase	olanzapine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	57	OBJECTIVE: To report a case of marked [s1]elevation of serum creatine kinase[e1] (CK) associated with [s2]olanzapine[e2] therapy.
	(0, 8)	Diclofenac	hepatitis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	58	 [s1]Diclofenac[e1] associated [s2]hepatitis[e2] 
	(17, 26)	hepatitis	diclofenac	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	59	This patient, who had a history of osteoarthritis, had severe [s1]hepatitis[e1] 5 weeks after being started on [s2]diclofenac[e2] for increasing pain in the joints.
	(0, 8)	2-CdA	lymphocytopenia	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	60	 [s1]2-CdA[e1] induces [s2]lymphocytopenia[e2]  which may explain the improvement in this patient's psoriasis.
	(3, 10)	priapism	heparin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	61	One case of [s1]priapism[e1] occurred during [s2]heparin[e2] therapy for a previous surgical operation to the knee is reported.
	(0, 10)	Priapism	heparin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	62	 [s1]Priapism[e1] as a complication of [s2]heparin[e2] therapy.
	(3, 16)	heparin	abnormal platelet aggregation	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	63	The association between [s1]heparin[e1] and priapism is often recognized; [s2]abnormal platelet aggregation[e2] could play a role in the pathogenesis of this side effect.
	(3, 9)	heparin	priapism	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	64	The association between [s1]heparin[e1] and [s2]priapism[e2] is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.
	(13, 32)	agranulocytosis	clozapine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	65	It carries a well-known risk of neutropenia and [s1]agranulocytosis[e1]  which necessitates the immediate discontinuation of [s2]clozapine[e2] 
	(8, 33)	neutropenia	clozapine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	66	It carries a well-known risk of [s1]neutropenia[e1] and agranulocytosis, which necessitates the immediate discontinuation of [s2]clozapine[e2] 
	(13, 28)	clozapine	diurnal variation of the white blood cells	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	67	OBJECTIVE: We report a patient who developed neutropenia on [s1]clozapine[e1]  but behind the cell count decrease showed to be a [s2]diurnal variation of the white blood cells[e2] (WBC).
	(0, 13)	Acute neutrophilic dermatosis	all-trans-retinoic acid	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	68	 [s1]Acute neutrophilic dermatosis[e1] induced by [s2]all-trans-retinoic acid[e2] treatment for acute promyelocytic leukemia.
	(16, 26)	hair loss	paroxetine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	69	Findings on discontinuation and rechallenge supported the assumption that the [s1]hair loss[e1] was a side effect of the [s2]paroxetine[e2] 
	(0, 6)	Hair loss	paroxetine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	70	 [s1]Hair loss[e1] associated with [s2]paroxetine[e2] treatment: a case report.
	(14, 19)	hair loss	paroxetine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	71	We report on a 37-year-old female who complained of moderate [s1]hair loss[e1] during [s2]paroxetine[e2] treatment.
	(4, 32)	insulin	protamine allergy	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	72	CONCLUSION: Patients with [s1]insulin[e1] allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant [s2]protamine allergy[e2] 
	(5, 18)	insulin	angioedema	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	73	METHODS: The patient required [s1]insulin[e1] desensitization for severe urticaria, [s2]angioedema[e2]  and occasional wheezing resulting from her insulin dose.
	(5, 18)	insulin	angioedema	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	74	METHODS: The patient required [s1]insulin[e1] desensitization for severe urticaria, [s2]angioedema[e2]  and occasional wheezing resulting from her insulin dose.
	(5, 13)	insulin	severe urticaria	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	75	METHODS: The patient required [s1]insulin[e1] desensitization for [s2]severe urticaria[e2]  angioedema, and occasional wheezing resulting from her insulin dose.
	(5, 13)	insulin	severe urticaria	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	76	METHODS: The patient required [s1]insulin[e1] desensitization for [s2]severe urticaria[e2]  angioedema, and occasional wheezing resulting from her insulin dose.
	(5, 25)	insulin	wheezing	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	77	METHODS: The patient required [s1]insulin[e1] desensitization for severe urticaria, angioedema, and occasional [s2]wheezing[e2] resulting from her insulin dose.
	(5, 25)	insulin	wheezing	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	78	METHODS: The patient required [s1]insulin[e1] desensitization for severe urticaria, angioedema, and occasional [s2]wheezing[e2] resulting from her insulin dose.
	(18, 33)	insulin	allergic symptoms	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	79	OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH [s1]insulin[e1]  as well as standard insulin desensitization, could control [s2]allergic symptoms[e2] in a patient allergic to both NPH and regular insulin.
	(16, 33)	NPH insulin	allergic symptoms	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	80	OBJECTIVE: The purpose of this study was to determine whether desensitization to [s1]NPH insulin[e1]  as well as standard insulin desensitization, could control [s2]allergic symptoms[e2] in a patient allergic to both NPH and regular insulin.
	(2, 24)	neutral protamine Hagedorn (NPH) insulin	protamine hypersensitivity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	81	Patients receiving [s1]neutral protamine Hagedorn (NPH) insulin[e1] are at increased risk for the development of [s2]protamine hypersensitivity[e2] 
	(0, 12)	Protamine allergy	insulin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	82	 [s1]Protamine allergy[e1] as a complication of [s2]insulin[e2] hypersensitivity: A case report.
	(5, 20)	insulin	hives	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	83	She continued to receive regular [s1]insulin[e1] 4 times per day over the following 3 years with only occasional [s2]hives[e2] 
	(11, 41)	angioedema	insulin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	84	The patient had recurrence of urticaria and [s1]angioedema[e1] a year and a half later, at which point the NPH was stopped and she was desensitized to regular [s2]insulin[e2] 
	(11, 28)	angioedema	NPH	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	85	The patient had recurrence of urticaria and [s1]angioedema[e1] a year and a half later, at which point the [s2]NPH[e2] was stopped and she was desensitized to regular insulin.
	(7, 41)	urticaria	insulin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	86	The patient had recurrence of [s1]urticaria[e1] and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular [s2]insulin[e2] 
	(7, 28)	urticaria	NPH	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	87	The patient had recurrence of [s1]urticaria[e1] and angioedema a year and a half later, at which point the [s2]NPH[e2] was stopped and she was desensitized to regular insulin.
	(8, 21)	lethargic	brimonidine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	88	A 5-month-old infant became [s1]lethargic[e1] and poorly responsive after receiving 1 drop of [s2]brimonidine[e2] in each eye.
	(12, 21)	poorly responsive	brimonidine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	89	A 5-month-old infant became lethargic and [s1]poorly responsive[e1] after receiving 1 drop of [s2]brimonidine[e2] in each eye.
	(12, 22)	apneic	brimonidine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	90	An 11-day-old infant became lethargic and [s1]apneic[e1] after a single drop of [s2]brimonidine[e2] 
	(8, 22)	lethargic	brimonidine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	91	An 11-day-old infant became [s1]lethargic[e1] and apneic after a single drop of [s2]brimonidine[e2] 
	(1, 14)	central nervous system depression	brimonidine	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	92	Apparent [s1]central nervous system depression[e1] in infants after the use of topical [s2]brimonidine[e2] 
	(3, 13)	brimonidine	central nervous system depression	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	93	CONCLUSIONS: Topical [s1]brimonidine[e1] may be associated with [s2]central nervous system depression[e2] in infants.
	(9, 18)	brimonidine	central nervous system depression	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	94	PURPOSE: To report two cases in which topical [s1]brimonidine[e1] resulted in apparent [s2]central nervous system depression[e2] and unresponsiveness in an infant.
	(24, 32)	ceftriaxone	elevated hepato-biliary enzymes	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	95	Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of [s1]ceftriaxone[e1] with [s2]elevated hepato-biliary enzymes[e2] and transient biliary stasis.
	(24, 42)	ceftriaxone	transient biliary stasis	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	96	Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of [s1]ceftriaxone[e1] with elevated hepato-biliary enzymes and [s2]transient biliary stasis[e2] 
	(0, 12)	Hepato-biliary abnormalities	ceftriaxone	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	97	 [s1]Hepato-biliary abnormalities[e1] secondary to [s2]ceftriaxone[e2] use: a case report.
	(0, 16)	Anterior lumbosacral radiculopathy	methotrexate	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	98	 [s1]Anterior lumbosacral radiculopathy[e1] after intrathecal [s2]methotrexate[e2] treatment.
	(6, 16)	progressive paraparesis	methotrexate	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	99	Reported are three children who developed [s1]progressive paraparesis[e1] after intrathecal [s2]methotrexate[e2] administration followed by complete or partial recovery.
	(5, 13)	arsenic trioxide	decrease in the D-dimers	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	100	During the first days of [s1]arsenic trioxide[e1] treatment a rapid [s2]decrease in the D-dimers[e2] was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.
	(5, 34)	arsenic trioxide	slight decrease in peripheral blood leukocytes	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	101	During the first days of [s1]arsenic trioxide[e1] treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a [s2]slight decrease in peripheral blood leukocytes[e2] 
	(11, 44)	chills	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	102	A 22-year-old black man developed fever, [s1]chills[e1]  fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting [s2]minocycline[e2] therapy for acne.
	(14, 44)	fatigue	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	103	A 22-year-old black man developed fever, chills, [s1]fatigue[e1]  night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting [s2]minocycline[e2] therapy for acne.
	(9, 44)	fever	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	104	A 22-year-old black man developed [s1]fever[e1]  chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting [s2]minocycline[e2] therapy for acne.
	(30, 45)	generalized, pruritic, macular eruption	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	105	A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a [s1]generalized, pruritic, macular eruption[e1] 3 weeks after starting [s2]minocycline[e2] therapy for acne.
	(16, 44)	night sweats	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	106	A 22-year-old black man developed fever, chills, fatigue, [s1]night sweats[e1]  tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting [s2]minocycline[e2] therapy for acne.
	(16, 28)	mononucleosis-like syndrome	minocycline	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	107	With the negative viral serologies, the clinical picture was most consistent with an infectious [s1]mononucleosis-like syndrome[e1] produced by the [s2]minocycline[e2] ingestion.
	(12, 32)	5-FU	life-threatening toxicity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	108	We conclude that the presence of this metabolic defect combined with topical [s1]5-FU[e1] (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of [s2]life-threatening toxicity[e2] after treatment with a topical drug.
